pm_note_count,pm_length_seconds,pm_pitch_range_min_note,pm_pitch_range_max_note,muspy_n_pitches_used,muspy_n_pitch_classes_used,theory_conjuction_melody_motion,pm_average_pitch_hz,muspy_pitch_entropy,muspy_pitch_class_entropy,pm_interval_range_min,pm_interval_range_max,pm_groove,pm_average_polyphony,pm_max_polyphony,pm_note_density,metadata_index
60.0,17.454559999999997,53.0,77.0,17.0,8.0,10.864406779661016,369.390518310466,3.83238081627928,2.799047482945948,-18.0,12.0,0.380535266506696,1.6764705882352942,2.0,3.437497135419054,16
128.0,16.0,71.0,81.0,7.0,7.0,4.007874015748032,657.0628110395495,2.590825502193724,2.590825502193724,-7.0,5.0,0.0,1.0,1.0,8.0,17
16.0,12.8,59.0,77.0,8.0,4.0,12.333333333333334,444.361734131526,2.811278124459133,1.811278124459133,-17.0,12.0,0.8860398787112613,1.44,2.0,1.25,18
24.0,38.325,64.0,76.0,8.0,7.0,5.652173913043479,466.55459166318593,2.918295834054489,2.7516291673878226,-11.0,5.0,2.203744772153516,3.0,3.0,0.6262230919765166,19
18.0,12.444432,55.0,64.0,6.0,6.0,4.529411764705882,259.4564554393507,2.503258334775646,2.5032583347756456,-9.0,7.0,0.771573323242831,0.2916666666666667,1.0,1.4464300178585894,20
20.0,17.36933265625,57.0,79.0,12.0,6.0,11.842105263157896,443.86828571891766,3.5219280948873624,2.5219280948873624,-16.0,12.0,0.9720699874961976,1.8823529411764703,2.0,1.1514547159532589,21
20.0,14.74038584375,48.0,81.0,19.0,7.0,10.36842105263158,416.8955374601111,4.221928094887363,2.770950594454668,-29.0,9.0,1.3463715901459,5.0,5.0,1.356816586214404,22
32.0,22.125,67.0,81.0,9.0,7.0,3.129032258064516,648.1833322627002,2.788909765557392,2.601409765557392,-9.0,9.0,0.6106175547156756,0.5681818181818182,1.0,1.4463276836158192,23
8.0,38.4,34.0,38.0,3.0,3.0,,65.6248612048531,1.5,1.5,-2.0,2.0,7.506477703676109e-16,1.0,1.0,0.2083333333333333,24
11.0,16.0,69.0,76.0,5.0,5.0,,540.1831678406566,2.1180782093497093,2.1180782093497093,-5.0,5.0,0.6403124237432849,1.03125,2.0,0.6875,25
72.0,12.6,68.0,89.0,14.0,7.0,11.929577464788732,749.472265136904,3.5941178916311856,2.5941178916311856,-21.0,12.0,0.1936914190160122,1.04,2.0,5.7142857142857135,26
55.0,17.454559999999997,43.0,69.0,15.0,8.0,7.111111111111111,229.97526878172636,3.730218915104052,2.835867264304942,-17.0,9.0,0.1874140482517732,0.9411764705882352,1.0,3.1510390408008,27
96.0,17.43751453125,56.0,72.0,10.0,6.0,8.031578947368422,344.7474382556204,3.099483981787688,2.4328173151210217,-12.0,12.0,0.0080562068285636,1.088235294117647,2.0,5.505371756276225,28
64.0,16.55115015625,45.0,76.0,17.0,7.0,9.793650793650794,335.3211555137937,3.885976859632983,2.59333793972631,-29.0,24.0,0.2975966658694601,0.7272727272727273,2.0,3.866800759815021,29
139.0,17.454559999999997,43.0,79.0,21.0,8.0,7.398550724637682,391.623866268557,3.896558538070724,2.7961038895761727,-29.0,19.0,0.0697673826773969,2.7058823529411766,3.0,7.963535030387476,30
26.0,17.454559999999997,52.0,71.0,10.0,5.0,11.92,317.0077998285108,2.823026490712885,1.8230264907128848,-17.0,12.0,0.7832266578788007,2.0588235294117645,4.0,1.4895820920149236,31
256.0,16.0,43.0,78.0,20.0,7.0,11.933333333333334,324.5681853005555,4.050881033386126,2.665777010964089,-29.0,12.0,0.0624995194137616,2.0,2.0,16.0,32
128.0,16.0,71.0,81.0,7.0,7.0,4.125984251968504,667.00852923014,2.602217001462482,2.6022170014624826,-5.0,5.0,0.0,1.0,1.0,8.0,33
21.0,8.0,48.0,60.0,8.0,7.0,5.9,192.2709131533837,2.8152023999804863,2.4516084941043093,-12.0,9.0,0.2011684617428885,0.75,1.0,2.625,34
104.0,27.428576,40.0,65.0,13.0,7.0,6.41747572815534,230.22845000872368,3.313568563296415,2.53535077704485,-24.0,12.0,0.2088749374146108,4.87037037037037,5.0,3.791666034722328,35
42.0,18.31875,58.0,84.0,16.0,7.0,11.829268292682928,556.5990223430581,3.685948449316695,2.522740045214949,-26.0,12.0,0.5467768300176411,0.8333333333333334,2.0,2.2927328556806548,36
49.0,9.45,40.0,67.0,14.0,7.0,9.729166666666666,221.62426736512705,3.650124895003159,2.7667736191838883,-22.0,21.0,0.2249131776930823,1.1666666666666667,3.0,5.185185185185184,37
48.0,19.2,53.0,79.0,14.0,6.0,12.106382978723405,395.0372901545013,3.53362440973081,2.332551816930742,-19.0,12.0,0.4362895529523847,1.4736842105263157,2.0,2.5,38
24.0,17.454559999999997,57.0,80.0,14.0,7.0,11.521739130434783,445.1149877862538,3.625814583693911,2.6258145836939115,-19.0,12.0,0.7843247874957341,2.0588235294117645,4.0,1.3749988541676217,39
28.0,24.0,67.0,79.0,7.0,6.0,2.333333333333333,535.4942519099155,2.515183155365317,2.372326012508174,-7.0,4.0,0.6441510347391793,1.0,1.0,1.1666666666666667,40
72.0,28.615387,64.0,91.0,16.0,7.0,12.0,775.7871326072027,3.5861184381830093,2.493687576626709,-16.0,12.0,0.5294451231752239,1.7894736842105263,2.0,2.516128822580663,41
42.0,25.6,59.0,84.0,14.0,6.0,12.585365853658535,495.0284803867503,3.584023687015089,2.4509438213412773,-25.0,12.0,0.8118105000083794,1.7843137254901962,3.0,1.640625,42
14.0,16.0,65.0,84.0,8.0,4.0,11.76923076923077,655.6545781283351,2.950212064914747,1.9502120649147463,-19.0,12.0,0.9970370305242864,2.125,4.0,0.875,43
32.0,19.2,39.0,76.0,17.0,8.0,13.612903225806452,298.3395871229023,3.890319531114783,2.764819142645923,-33.0,12.0,1.0034695274954104,4.0,4.0,1.6666666666666667,44
64.0,23.9765625,41.0,65.0,11.0,7.0,7.047619047619048,222.49641405208916,2.890319531114783,2.415308297488598,-16.0,16.0,0.0,1.8297872340425527,2.0,2.6692733789507983,45
8.0,12.6875,64.0,76.0,8.0,7.0,,489.35188719109766,3.0,2.75,-8.0,4.0,0.8402502056907012,0.84,2.0,0.6305418719211823,46
64.0,42.666656,29.0,64.0,13.0,7.0,14.53968253968254,181.79112802870264,3.417837797403416,2.464517877819773,-35.0,24.0,1.9034303725785814e-15,1.2470588235294118,2.0,1.500000375000094,47
64.0,16.0,76.0,84.0,7.0,7.0,3.555555555555556,865.9308127450247,2.577819531114783,2.577819531114783,-5.0,8.0,0.0,1.0,1.0,4.0,48
8.0,15.306830937499996,33.0,40.0,3.0,3.0,,68.75779429931133,1.561278124459133,1.561278124459133,-5.0,5.0,0.011929343104016,1.0,1.0,0.5226424746353544,49
14.0,27.428576,77.0,86.0,6.0,6.0,2.076923076923077,968.3723489220946,2.4488156357251847,2.4488156357251847,-4.0,7.0,0.8796703046859569,1.0,1.0,0.5104165815972365,50
8.0,10.95,57.0,72.0,7.0,5.0,,388.6260421222748,2.75,2.1556390622295662,-5.0,12.0,0.6676995612411566,1.0,2.0,0.730593607305936,51
40.0,16.909104999999997,45.0,71.0,12.0,7.0,7.205128205128205,274.27043488599554,3.490468570732828,2.540468570732828,-21.0,7.0,0.3106219675018083,1.2727272727272727,2.0,2.3655894265249406,52
108.0,24.0,43.0,74.0,17.0,7.0,7.355140186915888,357.06976052264923,3.516123782815452,2.6831124992410342,-28.0,19.0,0.1845202791741334,2.9375,5.0,4.5,53
90.0,27.69231,69.0,96.0,17.0,7.0,12.134831460674157,1027.9991064247802,3.9585600497176223,2.761609845544842,-21.0,12.0,0.4173220649665826,1.818181818181818,2.0,3.2499997291666896,54
35.0,24.0,72.0,89.0,11.0,7.0,2.3823529411764706,890.5442347968612,3.1632046194268693,2.661267576727715,-9.0,12.0,0.4055465362687552,0.875,1.0,1.4583333333333333,55
49.0,13.846155,48.0,79.0,15.0,8.0,10.0625,411.2236956822629,3.752293906029874,2.773457483789533,-23.0,28.0,0.408851796099236,2.4814814814814814,5.0,3.5388885939815062,56
52.0,24.0,36.0,62.0,12.0,7.0,7.490196078431373,192.34573104024008,3.301804026733389,2.651046929097081,-26.0,19.0,0.4115020170480359,2.875,5.0,2.1666666666666665,57
128.0,16.0,74.0,91.0,11.0,7.0,3.566929133858268,1021.1806599129492,2.5314462981346573,2.2814462981346573,-9.0,9.0,0.0,1.0,1.0,8.0,58
62.0,16.00569515625,55.0,82.0,18.0,8.0,12.081967213114757,470.4857805638638,3.979685980952818,2.81611002208062,-24.0,12.0,0.3582423423585043,0.6875,4.0,3.873621195127528,59
60.0,8.0,62.0,76.0,8.0,6.0,4.135593220338983,433.55303090643815,2.7716287152428545,2.467648199284062,-5.0,7.0,0.0316868347693771,1.0,1.0,7.5,60
64.0,12.7,64.0,81.0,11.0,7.0,5.825396825396825,546.1649792957874,3.375,2.7334585933443494,-6.0,12.0,5.765919760493078e-16,0.56,1.0,5.039370078740157,61
36.0,17.454559999999997,57.0,80.0,14.0,7.0,9.514285714285714,431.3473396488668,3.641604167868593,2.6416041678685938,-14.0,13.0,0.5738195905096254,2.088235294117647,4.0,2.0624982812514325,62
104.0,16.0,48.0,79.0,15.0,7.0,7.165048543689321,382.5352394353537,3.6287635206661006,2.696572066114596,-24.0,19.0,0.1018694843273461,1.125,2.0,6.5,63
52.0,17.454559999999997,57.0,84.0,18.0,8.0,11.784313725490197,519.534111012231,3.8720280562252496,2.7036648350297985,-19.0,12.0,0.3611113814849193,2.0,2.0,2.9791641840298477,64
15.0,15.953125,64.0,77.0,9.0,7.0,2.9285714285714284,502.308344550731,3.006238928653389,2.739572261986723,-7.0,7.0,0.3737039812166421,1.4516129032258065,2.0,0.940254652301665,65
32.0,16.0,43.0,69.0,12.0,7.0,9.67741935483871,269.7754219480868,3.5,2.686278124459133,-24.0,16.0,0.8362246062461755,4.0,4.0,2.0,66
50.0,54.857152,57.0,81.0,13.0,6.0,12.040816326530612,470.4771645316814,3.512305642071428,2.440112832582691,-17.0,12.0,1.23988674752258,2.0,2.0,0.9114581814236364,67
28.0,14.111097,60.0,72.0,2.0,1.0,11.11111111111111,392.4383479508979,1.0,-0.0,-12.0,12.0,0.3240329218108614,0.3214285714285714,2.0,1.98425395275789,68
22.0,17.454559999999997,52.0,88.0,22.0,7.0,1.7142857142857142,562.5626129449786,4.459431618637296,2.799007754410897,1.0,2.0,0.008035311027752,0.0294117647058823,1.0,1.26041561632032,69
112.0,16.0,72.0,84.0,6.0,5.0,2.675675675675676,964.0638913874818,1.901241985958579,1.658599574548893,-12.0,12.0,0.043904479030671,0.5,1.0,7.0,70
62.0,9.6,33.0,67.0,14.0,7.0,8.868852459016393,191.12843146280164,3.6277635530074,2.618595407357584,-27.0,12.0,0.2147102946191122,3.842105263157895,5.0,6.458333333333334,71
156.0,17.454559999999997,29.0,74.0,23.0,8.0,8.806451612903226,271.1096723845615,3.923242002282669,2.636965918038048,-43.0,27.0,0.0524623950941413,4.5588235294117645,5.0,8.937492552089541,72
64.0,14.222208,55.0,69.0,9.0,7.0,5.73015873015873,261.2282564219642,2.7282497881552663,2.5627202000483216,-9.0,9.0,5.121816090172391e-16,1.0,1.0,4.5000045000045,73
35.0,22.8515625,79.0,93.0,7.0,6.0,2.823529411764706,1248.494703601403,2.4424515878790305,2.3637405163886456,-7.0,12.0,0.4817719779670931,0.6,1.0,1.5316239316239315,74
31.0,17.454559999999997,64.0,77.0,8.0,6.0,5.733333333333333,477.43112236750346,2.7877040697826763,2.3056248156825463,-13.0,5.0,0.9228064083101192,3.852941176470588,4.0,1.776040186633178,75
44.0,24.0,72.0,84.0,8.0,7.0,1.9534883720930232,791.3697509441671,2.9234397130395617,2.6292475112871974,-9.0,12.0,0.4531108670237728,0.9166666666666666,1.0,1.8333333333333333,76
44.0,54.857152,53.0,81.0,13.0,5.0,11.767441860465116,445.6779646652299,3.4336264388698594,2.2202895764172954,-22.0,12.0,1.3993301023074316,2.0,2.0,0.8020831996528001,77
15.0,15.90625,40.0,60.0,12.0,7.0,8.642857142857142,164.85755997452642,3.5068905956085192,2.6565647621309543,-20.0,15.0,1.6286094259547537,3.741935483870968,4.0,0.9430255402750491,78
64.0,17.454559999999997,40.0,71.0,16.0,6.0,9.142857142857142,222.86606987023453,3.6225784700246697,2.363902882973285,-24.0,21.0,0.3167579805002913,2.5294117647058822,4.0,3.666663611113658,79
11.0,16.0,69.0,76.0,5.0,5.0,,530.6584599143872,2.231270254607576,2.231270254607576,-5.0,4.0,0.490694660659763,1.28125,2.0,0.6875,80
22.0,8.142863250000001,67.0,84.0,9.0,7.0,2.8095238095238093,735.372621612737,2.915151234499248,2.556054210413333,-7.0,5.0,0.2592186826214533,0.4375,1.0,2.701752359650642,81
88.0,9.6,40.0,64.0,12.0,7.0,7.873563218390805,208.06801742468383,3.427116083725406,2.756308399438656,-19.0,12.0,0.1874162516096716,1.6842105263157894,4.0,9.166666666666668,82
16.0,16.0,29.0,48.0,8.0,4.0,12.133333333333333,79.89725615699768,3.0,2.0,-19.0,12.0,0.9977753031397176,2.0,2.0,1.0,83
10.0,12.8,57.0,78.0,8.0,6.0,,382.1310645599145,2.9219280948873627,2.5219280948873624,-9.0,19.0,0.6474337994662913,1.0,2.0,0.78125,84
80.0,12.6875,40.0,69.0,15.0,7.0,9.632911392405065,237.6429977923876,3.821928094887362,2.6841837197791887,-15.0,16.0,0.0803772550196837,0.64,2.0,6.305418719211823,85
65.0,24.0,53.0,79.0,14.0,7.0,8.21875,361.5785534125861,3.586035214032023,2.7240203578534974,-23.0,16.0,0.0652472386269143,2.2291666666666665,4.0,2.708333333333333,86
64.0,16.0,55.0,69.0,9.0,7.0,5.73015873015873,261.2282564219642,2.7282497881552663,2.5627202000483216,-9.0,9.0,0.0,1.46875,2.0,4.0,87
8.0,12.7,65.0,72.0,5.0,5.0,,456.7633112884421,2.25,2.25,-6.0,7.0,0.0755928946018456,1.0,2.0,0.6299212598425197,88
15.0,17.454559999999997,62.0,72.0,7.0,7.0,3.7857142857142856,402.4196925892307,2.6062389286533896,2.6062389286533896,-4.0,10.0,6.391535453155623e-16,1.0,1.0,0.8593742838547636,89
16.0,11.2,40.0,60.0,14.0,8.0,7.4,164.70548458398875,3.75,2.9056390622295662,-16.0,7.0,1.2551493934986386,2.1818181818181817,4.0,1.4285714285714284,90
62.0,42.666656,57.0,84.0,16.0,7.0,12.0,543.3824753841265,3.6773019108421288,2.5029001529016943,-19.0,12.0,0.7391402925443195,2.0,2.0,1.453125363281341,91
11.0,17.454559999999997,65.0,76.0,5.0,5.0,,521.7015117382773,2.1626441180472606,2.16264411804726,-6.0,7.0,0.6812730766432795,1.0,1.0,0.63020780816016,92
64.0,42.666656,29.0,67.0,16.0,7.0,10.952380952380953,224.02149736811432,3.581454494309836,2.517791765801312,-36.0,31.0,0.325127781061679,2.0,2.0,1.500000375000094,93
160.0,12.7875,40.0,65.0,11.0,7.0,7.628930817610063,220.6716030837408,3.221928094887362,2.6232196723355075,-17.0,24.0,0.0400940313220357,1.16,2.0,12.512218963831865,94
128.0,16.0,71.0,89.0,12.0,7.0,2.858267716535433,927.5164188550108,3.356714777469659,2.5892244889643137,-5.0,10.0,0.0,1.0,1.0,8.0,95
80.0,27.69231,69.0,93.0,15.0,7.0,12.063291139240508,942.7887437494824,3.565468570732828,2.540468570732828,-19.0,12.0,0.4781917054323518,1.709090909090909,2.0,2.888888648148168,96
65.0,9.142864,29.0,67.0,18.0,7.0,11.453125,188.2285213438118,3.983208775428696,2.6557394891635107,-36.0,21.0,0.2080569452877891,4.722222222222222,5.0,7.109369667972748,97
26.0,15.984375,36.0,60.0,11.0,7.0,10.0,168.27194140160685,3.3927474104487847,2.661226256269789,-24.0,19.0,0.8970002090300759,3.225806451612903,4.0,1.6265884652981428,98
84.0,28.615387,69.0,101.0,19.0,7.0,12.144578313253012,1373.2731382494003,3.963255699869329,2.543804167291042,-24.0,12.0,0.4950088844282686,1.8596491228070176,2.0,2.9354836263441064,99
57.0,13.3846165,60.0,83.0,14.0,7.0,7.803571428571429,541.2111903173355,3.6746522947146736,2.7872791131739096,-17.0,7.0,3.9164596694972293e-16,1.5384615384615383,3.0,4.258620334770145,100
8.0,11.1625,28.0,45.0,8.0,4.0,,71.91377277777278,3.0,2.0,-15.0,12.0,1.5774458656903805,1.0909090909090908,2.0,0.7166853303471443,101
10.0,15.96875,69.0,79.0,7.0,7.0,,586.2555962030444,2.7219280948873625,2.7219280948873625,-8.0,4.0,0.8473147148965648,1.064516129032258,2.0,0.6262230919765166,102
128.0,16.0,74.0,86.0,8.0,7.0,3.9606299212598426,862.0815255010228,2.719781138885171,2.685808361185196,-5.0,12.0,0.0,1.0,1.0,8.0,103
72.0,14.769215999999998,38.0,60.0,12.0,8.0,7.126760563380282,181.725901942138,3.104059384476404,2.675635855908283,-19.0,12.0,0.0729683267736706,2.0,2.0,4.875004875004875,104
40.0,14.222208,60.0,67.0,2.0,2.0,2.871794871794872,365.9214618455192,0.7219280948873623,0.7219280948873623,-7.0,7.0,0.1081119486458365,1.8571428571428568,2.0,2.8125028125028124,105
46.0,17.454559999999997,38.0,71.0,15.0,7.0,10.466666666666669,246.04028573287923,3.613812577101267,2.479476820055984,-31.0,28.0,0.2517234944082802,1.911764705882353,3.0,2.635414470487942,106
15.0,15.9375,40.0,57.0,10.0,7.0,7.642857142857143,150.17205249731342,3.1898980954642875,2.5492553971685004,-17.0,8.0,1.6220108398345607,3.741935483870968,4.0,0.9411764705882352,107
50.0,54.857152,57.0,81.0,13.0,6.0,11.89795918367347,508.2065902001522,3.368884070537636,2.328884070537636,-17.0,12.0,1.3048204762902074,2.0,2.0,0.9114581814236364,108
90.0,17.454559999999997,48.0,71.0,12.0,7.0,5.404494382022472,250.6897359218921,3.265962714315072,2.6841059714252333,-12.0,14.0,0.0447350742910452,1.0588235294117647,2.0,5.156245703128581,109
66.0,17.43751453125,52.0,80.0,16.0,7.0,10.738461538461538,419.4674883703783,3.738624278943544,2.645568075154509,-17.0,19.0,0.3933365160594997,0.6764705882352942,2.0,3.784943082439905,110
16.0,11.2,40.0,64.0,12.0,7.0,9.066666666666666,201.16871687012105,3.5,2.7334585933443494,-21.0,12.0,1.2800000000000002,2.1818181818181817,4.0,1.4285714285714284,111
96.0,17.454559999999997,43.0,67.0,13.0,8.0,6.852631578947369,188.5057032480478,3.3334930632361397,2.626703884307024,-14.0,9.0,0.0080562068285636,1.088235294117647,2.0,5.499995416670487,112
13.0,16.0,45.0,64.0,8.0,5.0,8.083333333333334,219.9671233726139,2.931208948910323,2.161978179679554,-19.0,12.0,1.7320508075688772,3.25,4.0,0.8125,113
192.0,17.454559999999997,69.0,96.0,21.0,9.0,1.7225130890052356,1143.9862860087053,4.072884932426651,2.9783219862490213,-3.0,3.0,0.0080457665831325,0.8235294117647058,1.0,10.999990833340972,114
32.0,7.96875,55.0,69.0,8.0,6.0,7.548387096774194,268.227626673467,2.7150182662886326,2.2638132069840315,-12.0,14.0,0.0,1.0,1.0,4.015686274509804,115
16.0,16.0,64.0,84.0,12.0,6.0,11.2,642.3857921838066,3.5,2.5,-16.0,12.0,1.198950640722498,2.1875,4.0,1.0,116
38.0,24.0,71.0,81.0,7.0,7.0,1.972972972972973,602.9357065065,2.572960658397676,2.572960658397676,-5.0,8.0,0.2559999514928734,1.0,1.0,1.5833333333333333,117
15.0,12.0,72.0,84.0,8.0,7.0,3.142857142857143,774.037596313348,2.872905595320056,2.6062389286533896,-9.0,8.0,0.3302364644447666,0.875,1.0,1.25,118
32.0,14.3076935,48.0,84.0,10.0,5.0,10.580645161290322,547.3497667265613,3.1556390622295662,2.1800365325772657,-23.0,16.0,0.6054754740543846,1.5,4.0,2.2365589534050336,119
24.0,17.454559999999997,57.0,80.0,12.0,6.0,11.521739130434783,433.72987375587,3.2841591278514217,2.2841591278514217,-15.0,12.0,0.7843247874957341,2.0588235294117645,4.0,1.3749988541676217,120
65.0,15.875,67.0,79.0,8.0,7.0,5.390625,543.222562850661,2.7503414438203846,2.557270503372423,-12.0,12.0,0.105901888372859,0.7419354838709677,1.0,4.094488188976378,121
160.0,12.7875,40.0,69.0,16.0,8.0,7.264150943396227,222.81070893041576,3.7521107685615496,2.818677898046724,-19.0,24.0,0.0400940313220357,1.16,2.0,12.512218963831865,122
84.0,24.0,40.0,67.0,13.0,7.0,7.578313253012048,231.30948771350708,3.0922057827658365,2.425650702785653,-23.0,19.0,0.255820259040218,2.625,4.0,3.5,123
8.0,12.8,64.0,71.0,5.0,5.0,,404.7089180118516,2.1556390622295662,2.1556390622295662,-5.0,4.0,0.5510946898155133,0.84,1.0,0.625,124
23.0,12.7875,53.0,76.0,14.0,7.0,11.363636363636363,380.7548350234064,3.708132064658601,2.7144471528206298,-19.0,12.0,0.5738085032021636,1.68,4.0,1.7986314760508306,125
56.0,12.6,64.0,88.0,15.0,7.0,11.872727272727271,677.4620197560333,3.741451627919908,2.6674925305971176,-20.0,12.0,0.2508827390641504,0.96,2.0,4.444444444444444,126
64.0,27.69231,69.0,96.0,17.0,7.0,12.07936507936508,1039.8306098068267,3.872828664259099,2.7181390622295667,-19.0,12.0,0.7474143951694485,1.5636363636363635,2.0,2.311110918518535,127
30.0,16.0,43.0,67.0,12.0,7.0,10.172413793103448,250.99891054877253,3.4280729963885097,2.6178561135066154,-21.0,19.0,0.8475528922565327,3.65625,5.0,1.875,128
12.0,14.74038584375,72.0,91.0,8.0,4.0,11.636363636363637,1005.6662889870478,2.918295834054489,1.9182958340544891,-14.0,12.0,1.54733626163719,1.4482758620689655,2.0,0.8140899517286423,129
11.0,9.142864,76.0,84.0,6.0,6.0,,796.8777731774666,2.3685225277282065,2.368522527728207,-3.0,5.0,0.6154478681152125,0.8888888888888888,1.0,1.2031240976569266,130
60.0,24.0,71.0,93.0,12.0,6.0,11.847457627118644,991.5363257931878,3.50558726169826,2.50558726169826,-20.0,12.0,0.6035793479749989,2.0,2.0,2.5,131
80.0,32.0,40.0,65.0,10.0,6.0,6.506329113924051,237.75463293991416,2.8520784069005822,2.4491814593727472,-24.0,16.0,0.3016803870332401,4.0,4.0,2.5,132
10.0,16.0,62.0,72.0,7.0,7.0,,417.6896990685299,2.7219280948873625,2.7219280948873625,-5.0,9.0,0.5592595706477549,1.0,2.0,0.625,133
7.0,15.90625,60.0,72.0,6.0,5.0,,382.8806366734032,2.521640636343318,2.235926350629033,-5.0,12.0,1.739497565250923,0.7419354838709677,1.0,0.4400785854616896,134
128.0,16.0,72.0,88.0,10.0,7.0,5.984251968503937,856.6944552442887,3.1289280318460246,2.524397470347699,-16.0,5.0,0.0,1.0,1.0,8.0,135
128.0,16.0,55.0,71.0,9.0,7.0,3.3858267716535435,317.30590114245734,3.077819531114783,2.577819531114783,-7.0,7.0,0.0,1.0,1.0,8.0,136
14.0,15.27274,57.0,76.0,8.0,4.0,12.0,440.96523683014783,2.8423709931771084,1.8423709931771084,-15.0,12.0,1.0876776669692492,2.0,2.0,0.9166659027784144,137
32.0,12.999987,48.0,72.0,13.0,7.0,8.096774193548388,353.38639575976674,3.488608500731241,2.5856755948068324,-20.0,12.0,0.504039519795014,0.32,2.0,2.4615409230793848,138
88.0,17.352287187499996,38.0,76.0,16.0,7.0,10.137931034482758,353.6070150765847,3.6382712049433743,2.6249852352113976,-31.0,24.0,0.2364228632880395,0.5882352941176471,3.0,5.071377568220069,139
13.0,15.9375,40.0,57.0,9.0,6.0,7.666666666666667,148.20802762464945,3.0850551027564768,2.4116022179746714,-16.0,12.0,1.7230926829678146,3.2580645161290325,4.0,0.8156862745098039,140
44.0,7.875,64.0,79.0,10.0,7.0,5.511627906976744,503.35628564265846,3.094017981486945,2.696068549570424,-12.0,9.0,0.0983228751470218,0.7333333333333333,1.0,5.587301587301587,141
20.0,11.2,64.0,86.0,12.0,6.0,12.052631578947368,713.638292962898,3.3709505944546687,2.3709505944546687,-20.0,12.0,0.5392104620996084,1.818181818181818,2.0,1.7857142857142856,142
30.0,16.0,40.0,57.0,10.0,7.0,7.758620689655173,150.17205249731342,3.1898980954642875,2.5492553971685004,-17.0,7.0,0.8558395617924728,3.75,4.0,1.875,143
56.0,12.6,64.0,84.0,12.0,6.0,11.690909090909091,639.392323711196,3.448815635725185,2.448815635725185,-20.0,12.0,0.2472326170677097,0.96,2.0,4.444444444444444,144
55.0,17.454559999999997,36.0,70.0,19.0,8.0,9.537037037037036,208.2555368301811,4.033378522844339,2.784597826697049,-31.0,9.0,0.1545158715992639,2.7058823529411766,5.0,3.1510390408008,145
